"Year";"PopularityRating";"BookTitle";"Author";"Genre";"FirstPoblicationYear";"Publisher";"OriginalLanguage";"Country";"RussianTranslationYear";"Description";"global_id";
"2014";"1";"«Любовь к трем цукербринам»";"Виктор Пелевин";"антиутопия";"2014";"«Эксмо»";"русский";"РОССИЯ";"";"«Любовь к трем цукербринам» заставляет вспомнить лучшие образцы творчества Виктора Пелевина. Этой книгой он снова бьет по самым чувствительным, болезненным точкам представителя эры потребления. Автор оглушает читателей новой неожиданной трактовкой бытия, в которой сплетается древний миф и уловки креативщиков, реальность и виртуальность.";"841850996";
"2014";"2";"«Сто лет одиночества»";"Габриэль Гарсиа Маркес";"роман";"1967";"-";"испанский";"АРГЕНТИНА";"1967";"История рода Буэндиа - семьи, в которой чудеса столь повседневны, что на них даже не обращают внимания. В нем кипят необычайные страсти и происходят невероятные события. Однако эти невероятные события снова и снова становятся своеобразным «волшебным зеркалом», сквозь которое читателю является подлинная история Латинской Америки.";"841851095";
"2014";"3";"«Обитель»";"Захар Прилепин";"роман";"2014";"«АСТ»";"русский";"РОССИЯ";"";"«Обитель» – трагическая история одной любви и история всей страны с ее болью, кровью, ненавистью, отраженная в Соловецком острове, как в зеркале. Мощный текст о степени личной свободы и о степени физических возможностей человека.";"841851173";
"2014";"4";"«Три товарища»";"Эрих Мария Ремарк";"роман";"1936";"«Gyldendal»";"немецкий";"ДАНИЯ";"1958";"Знаменитый роман о враждебном человеку послевоенном мире «веймарской» Германии известного немецкого писателя Э. М. Ремарка (1898 - 1970). Вот уже много лет эта книга остается одной из любимейших для миллионов читателей во всем мире.";"841851196";
"2014";"5";"«Географ глобус пропил»";"Алексей Иванов";"роман";"1997";"«Вагриус»";"русский";"РОССИЯ";"";"Молодой биолог Виктор Служкин от безденежья идет работать учителем географии в обычную пермскую школу. Он борется, а потом и дружит с учениками, конфликтует с завучем, ведет девятиклассников в поход – сплавляться по реке. Еще он пьет с друзьями вино, пытается ужиться с женой и водит в детский сад маленькую дочку. Он просто живет. Но эту простую частную историю Алексей Иванов написал так отчаянно, так нежно и так пронзительно, что «Географ глобус пропил», как это бывает с замечательными книгами, стал историей про каждого.";"841851219";
"2014";"6";"«Чтец»";"Бернхард Шлинк";"драма";"1995";"«Vintage books»";"немецкий";"ГЕРМАНИЯ";"2009";"Роман описывает разрыв между поколениями в Германии, осмысление молодыми немцами преступлений периода Холокоста. Главные герои - Михаэль Берг и Ханна Шмиц. Повествование охватывает почти 40-летний период с 1958 по 1990 в Западной Германии - в городе Хайдельберг.";"841851252";
"2014";"7";"«Щегол»";"Донна Тартт";"роман";"2013";"«Little, Brown and Company»";"английский";"СОЕДИНЕННЫЕ ШТАТЫ";"2014";"Роман «Щегол» – лауреат Пулитцеровской премии, Донна Тартт писала более 10 лет, – огромное эпическое полотно о силе искусства и о том, как оно – подчас совсем не так, как нам того хочется – способно перевернуть всю нашу жизнь.";"841851297";
"2014";"8";"«Огненный перст»";"Борис Акунин";"приключения";"2014";"«АСТ»";"русский";"РОССИЯ";"";"Три повести, входящие в эту книгу, посвящены жизни Древней Руси. Это начало очень длинного, на тысячу лет, рассказа о взлетах и падениях одного рода, живущего в России с незапамятных времен. Сага является художественным сопровождением многотомной «Истории Российского государства», первый том которой выходит одновременно с «Огненным перстом».";"841851313";
"2014";"9";"«Дерево на крыше»";"Виктория Токарева";"современная проза";"2011";"«Издательство Астрель»";"русский";"РОССИЯ";"";"Искренняя, трогательная история женщины с говорящим именем Вера. Провинциальная девчонка, сумевшая «пробиться в артистки», испытала и ужас блокады, и голодное безумие, и жертвенную страсть, и славу. А потом потеряла все";"841851377";
"2014";"10";"«Окна»";"Дина Рубина";"современная проза";"2012";"«Эксмо»";"русский";"РОССИЯ";"";"Дина Рубина – талантливый автор современной прозы. Ее рассказы, повести и романы печатаются с 1971 года и неизменно получают хорошие отзывы критиков и читателей. Сюжеты произведений Рубиной всегда кажутся автобиографичными, хотя бы отчасти, а потому очень искренними и чувственными. «Окна» – новое произведение Рубиной, сборник рассказов.";"841851427";
"2015";"1";"«Обитель»";"Захар Прилепин";"роман";"2014";"«АСТ»";"русский";"РОССИЯ";"";"«Обитель» – трагическая история одной любви и история всей страны с ее болью, кровью, ненавистью, отраженная в Соловецком острове, как в зеркале. Мощный текст о степени личной свободы и о степени физических возможностей человека.";"842055153";
"2015";"2";"«Детство 45-53 а завтра будет счастье»";"Людмила Улицкая";"публицистика";"2013";"«АСТ»";"русский";"РОССИЯ";"";"Книга собрана из драгоценных воспоминаний разных людей, наших современников. Сложенные вместе, отрывки из писем людей разного возраста, социального происхождения и образовательного уровня меняют отношение к событиям прошлого, расставляют акценты иные, чем те, к которым мы давно привыкли.";"842060874";
"2015";"3";"«Любовь к трем цукербринам»";"Виктор Пелевин";"антиутопия";"2014";"«Эксмо»";"русский";"РОССИЯ";"";"«Любовь к трем цукербринам» заставляет вспомнить лучшие образцы творчества Виктора Пелевина. Этой книгой он снова бьет по самым чувствительным, болезненным точкам представителя эры потребления. Автор оглушает читателей новой неожиданной трактовкой бытия, в которой сплетается древний миф и уловки креативщиков, реальность и виртуальность.";"842062760";
"2015";"4";"«Русская канарейка. Блудный сын»";"Дина Рубина";"современная проза";"2014";"«Эксмо»";"русский";"РОССИЯ";"";"«Блудный сын» - третий и заключительный том романа Дины Рубиной «Русская канарейка», полифоническая кульминация грандиозной саги о любви и о Музыке.";"842070769";
"2015";"5";"«Ночной Дозор»";"Сергей Лукьяненко";"фэнтези";"1998";"«АСТ»";"русский";"РОССИЯ";"";"История вечного противостояния Светлых и Темных магов. История опасных приключений Антона Городецкого и его друзей из Ночного Дозора.";"842075018";
"2015";"6";"«Братья Карамазовы»";"Фёдор Достоевский";"роман";"1880";"«Русский вестник»";"русский";"РОССИЯ";"";"Самый сложный, самый многоуровневый и неоднозначный из романов Достоевского, который критики считают «интеллектуальным детективом», «ранним постмодернизмом», и «лучшим из произведений о загадочной русской душе».";"842088790";
"2015";"7";"«Щегол»";"Донна Тартт";"роман";"2013";"«Little, Brown and Company»";"английский";"СОЕДИНЕННЫЕ ШТАТЫ";"";"Роман «Щегол» - лауреат Пулитцеровской премии, Донна Тартт писала более 10 лет, - огромное эпическое полотно о силе искусства и о том, как оно - подчас совсем не так, как нам того хочется - способно перевернуть всю нашу жизнь.";"842093162";
"2015";"8";"«Три товарища»";"Эрих Мария Ремарк";"роман";"1936";"«Gyldendal»";"немецкий";"ДАНИЯ";"1958";"Знаменитый роман о враждебном человеку послевоенном мире «веймарской» Германии известного немецкого писателя Э.М. Ремарка (1898 - 1970). Вот уже много лет эта книга остается одной из любимейших для миллионов читателей во всем мире.";"842102073";
"2015";"9";"«Игра престолов»";"Джордж Мартин";"фэнтези";"1996";"«Bantam Spectra»";"английский";"СОЕДИНЕННЫЕ ШТАТЫ";"1999";"«Игра престолов» – это суровые земли вечного холода и радостные земли вечного лета. Это легенда о лордах и героях, воинах и магах, убийцах и чернокнижниках, которых свело вместе исполнение древнего пророчества. Это история о таинственных воителях, что сражаются мечами из неведомого металла, и о племени странных созданий, что повергают своих врагов в безумие.";"842108577";
"2015";"10";"«Вино из одуванчиков»";"Рэй Брэдбери";"фэнтези";"1957";"«Doubleday»";"английский";"СОЕДИНЕННЫЕ ШТАТЫ";"1987";"Войдите в светлый мир двенадцатилетнего мальчика и проживите с ним одно лето, наполненное событиями радостными и печальными, загадочными и тревожными. Лето, когда каждый день совершаются удивительные открытия, главное из которых - ты живой, ты дышишь, ты чувствуешь! «Вино из одуванчиков» Рэя Брэдбери - классическое произведение, вошедшее в золотой фонд мировой литературы.";"842112802";
"2016";"1";"«Лестница Якова»";"Людмила Улицкая";"роман";"2015";"«АСТ»";"русский";"РОССИЯ";"";"Лестница Якова - это роман-притча, причудливо разветвленная семейная хроника с множеством героев и филигранно выстроенным сюжетом.";"842115342";
"2016";"2";"«Зулейха открывает глаза»";"Гузель Яхина";"роман";"2015";"«АСТ»";"русский";"РОССИЯ";"";"Роман «Зулейха открывает глаза» начинается зимой 1930 года в глухой татарской деревне. Крестьянку Зулейху вместе с сотнями других переселенцев отправляют в вагоне-теплушке по извечному каторжному маршруту в Сибирь.";"842116986";
"2016";"3";"«Русская канарейка»";"Дина Рубина";"роман";"2014";"«Эксмо»";"русский";"РОССИЯ";"";"Кипучее, неизбывно музыкальное одесское семейство и алма-атинская семья скрытных, молчаливых странников... На протяжении столетия их связывает только тоненькая ниточка птичьего рода - блистательный маэстро кенарь Желтухин и его потомки.";"842136591";
"2016";"4";"«Обитель»";"Захар Прилепин";"роман";"2014";"«Азбука»";"русский";"РОССИЯ";"";"Роман Захара Прилепина «Обитель» обращается к лагерной теме, исследуя Соловки 20-х годов как некое государство в государстве, где действуют свои суровые законы, но где жизнь не умирала ни на минуту.";"842143061";
"2016";"5";"«Лавр»";"Евгений Водолазкин";"роман";"2012";"«АСТ»";"русский";"РОССИЯ";"";"Герой романа «Лавр» -
средневековый врач. Обладая даром исцеления, он тем не менее не может спасти свою возлюбленную и принимает решение пройти земной путь вместо нее.";"842157268";
"2016";"6";"«Шантарам»";"Грегори Дэвид Робертс";"роман";"2003";"«Азбука-классика»";"английский";"АВСТРАЛИЯ";"2010";"Эта преломленная в художественной форме исповедь человека, который сумел выбраться из бездны и уцелеть, протаранила все списки бестселлеров и заслужила восторженные сравнения с произведениями лучших писателей нового времени, от Мелвилла до Хемингуэя.";"842162705";
"2016";"7";"«Щегол»";"Донна Тартт";"роман";"2013";"«АСТ»";"английский";"СОЕДИНЕННЫЕ ШТАТЫ";"2015";"Роман, который лауреат Пулитцеровской премии Донна Тартт писала более 10 лет, - огромное эпическое полотно о силе искусства и о том, как оно - подчас совсем не так, как нам того хочется - способно перевернуть всю нашу жизнь.";"842164728";
"2016";"8";"«Авиатор»";"Евгений Водолазкин";"роман";"2016";"«АСТ»";"русский";"РОССИЯ";"";"Герой романа «Авиатор» очнувшись однажды на больничной койке, понимает, что не знает про себя ровным счётом ничего - ни своего имени, ни кто он такой, ни где находится.";"842175090";
"2016";"9";"Таинственная страсть";"Василий Аксенов";"роман";"2009";"«Семь дней»";"русский";"РОССИЯ";"";"Герои «Таинственной страсти» носят вымышленные имена, но за ними без труда угадываются реальные люди. Например, Роберт Рождественский, Евгений Евтушенко, Булат Окуджава, Белла Ахмадулина, Владимир Высоцкий и многие другие известные люди.";"842176128";
"2016";"10";"«До встречи с тобой»";"Джоджо Мойес";"роман";"2012";"«Иностранка»";"английский";"СОЕДИНЕННЫЕ ШТАТЫ";"";"Лу Кларк знает, что ей очень нравится работа в кафе и что, скорее всего, она не любит своего бойфренда Патрика. Но Лу не знает, что вот-вот потеряет свою работу и в скором времени ей понадобятся все силы, чтобы преодолеть свалившиеся на нее проблемы.";"842177592";
"2017";"1";"«Авиатор»";"Евгений Водолазкин";"роман";"2016";"«АСТ»";"русский";"РОССИЯ";"";"Герой романа «Авиатор» очнувшись однажды на больничной койке, понимает, что не знает про себя ровным счётом ничего - ни своего имени, ни кто он такой, ни где находится. В надежде восстановить историю своей жизни, он начинает записывать посетившие его воспоминания, отрывочные и хаотичные. Петербург начала 20 века, дачное детство в Сиверской и Алуште, гимназия и первая любовь, революция 1917-го, влюбленность в авиацию, Соловки. Но откуда он так точно помнит детали быта, фразы, запахи, звуки того времени, если на календаре - 1999 год?";"843034580";
"2017";"2";"«С неба упали три яблока»";"Наринэ Абгарян";"роман";"2015";"«АСТ»";"русский";"РОССИЯ";"";"История одной маленькой деревни, затерянной высоко в горах, и её немногочисленных обитателей, каждый из которых немножко чудак, немножко ворчун и в каждом из которых таятся настоящие сокровища духа.";"843034583";
"2017";"3";"«Лавр»";"Евгений Водолазкин";"роман";"2012";"«Астрель»";"русский";"РОССИЯ";"";"Герой нового романа «Лавр» - средневековый врач. Обладая даром исцеления, он тем не менее не может спасти свою возлюбленную и принимает решение пройти земной путь вместо нее. Так жизнь превращается в житие. Он выхаживает чумных и раненых, убогих и немощных, и чем больше жертвует собой, тем очевиднее крепнет его дар. Но возможно ли любовью и жертвой спасти душу человека, не сумев уберечь ее земной оболочки?";"843034584";
"2017";"4";"«Зулейха открывает глаза»";"Гузель Яхина";"роман";"2014";"Журнал «Сибирские огни»";"русский";"РОССИЯ";"";"Роман «Зулейха открывает глаза» начинается зимой 1930 года в глухой татарской деревне. Крестьянку Зулейху вместе с сотнями других переселенцев отправляют в вагоне-теплушке по извечному каторжному маршруту в Сибирь. Дремучие крестьяне и ленинградские интеллигенты, деклассированный элемент и уголовники, мусульмане и христиане, язычники и атеисты, русские, татары, немцы, чуваши - все встретятся на берегах Ангары, ежедневно отстаивая у тайги и безжалостного государства свое право на жизнь. Всем раскулаченным и переселенным посвящается.";"843034586";
"2017";"5";"«Лестница Якова»";"Людмила Улицкая";"роман";"2015";"«АСТ»";"русский";"РОССИЯ";"";"«Лестница Якова» – это роман-притча, роман-размышление, филигранно выполненный Улицкой в форме нелинейной семейной хроники. В книге, охватывающей более чем столетний период российской истории, с конца 19 века по 2011 год, описаны судьбы шести поколений семьи Осецких. Читателю предстоит погрузиться в текст, в котором причудливо переплетаются эпохи, культуры и мировоззрения.";"843034589";
"2017";"6";"«Крепость»";"Петр Алешковский";"роман";"2015";"«АСТ»";"русский";"РОССИЯ";"";"Главный герой его нового романа «Крепость» - археолог Иван Мальцов, фанат своего дела, честный и принципиальный до безрассудства. Он ведет раскопки в старинном русском городке, пишет книгу об истории Золотой Орды и сам - подобно монгольскому воину из его снов-видений - бросается на спасение древней Крепости, которой грозит уничтожение от рук местных нуворишей и столичных чиновников. Средневековые легенды получают новое прочтение, действие развивается стремительно, чтобы завершиться острым и неожиданным финалом.";"843034604";
"2017";"7";"«Ненастье»";"Алексей Иванов";"роман";"2015";"«АСТ»";"русский";"РОССИЯ";"";"2008 год. Простой водитель, бывший солдат Афганской войны, в одиночку устраивает дерзкое ограбление спецфургона, который перевозит деньги большого торгового центра. Так в миллионном, но захолустном городе Батуеве завершается долгая история дерзкого и могучего союза ветеранов Афганистана - то ли общественной организации, то ли бизнес-альянса, то ли криминальной группировки - в «лихие девяностые», когда этот союз образовался и набрал силу, сложно было отличить одно от другого. Но роман не про деньги и не про криминал, а про ненастье в душе. Про отчаянные поиски причины, по которой человек должен доверять человеку в мире, где торжествуют только хищники, - но без доверия жить невозможно. Роман о том, что величие и отчаянье имеют одни и те же корни. О том, что каждый из нас рискует ненароком попасть в ненастье и уже не вырваться оттуда никогда, потому что ненастье - это убежище и ловушка, спасение и погибель, великое утешение и вечная боль жизни.";"843034613";
"2017";"8";"«Зимняя дорога»";"Леонид Юзефович";"роман";"2015";"«АСТ»";"русский";"РОССИЯ";"";"«Зимняя дорога» основана на архивных источниках и написана в форме документального романа. Несмотря на это, в книге рассказывается интересная история. История о последних боях Гражданской войны в России и борьбе двух людей.";"843034620";
"2017";"9";"«Бабий ветер»";"Дина Рубина";"роман";"2017";"«ЭКСМО»";"русский";"РОССИЯ";"";"В центре повествования этой, подчас шокирующей, резкой и болевой книги - Женщина. Героиня, в юности - парашютистка и пилот воздушного шара, пережив личную трагедию, вынуждена заняться совсем иным делом в другой стране, можно сказать, в зазеркалье - она косметолог, живет и работает в Нью-Йорке. Целая вереница странных персонажей проходит перед ее глазами, ибо, по роду своей нынешней профессии, героиня сталкивается с фантастическими, на сегодняшний день почти обыденными «гендерными перевертышами», с обескураживающими, а то и отталкивающими картинками жизни общества. И, как ни странно, из этой гирлянды, по выражению героини, «калек» вырастает гротесковый, трагический, ничтожный и высокий образ современной любви.";"843034629";
"2017";"10";"«Шантарам»";"Грегори Дэвид Робертс";"роман";"2003";"«Азбука-классика»";"английский";"АВСТРАЛИЯ";"2010";"Главный герой - бывший наркоман и грабитель, сбежавший из австралийской тюрьмы, где отбывал девятнадцатилетний срок заключения. После некоторого времени, проведенного в Австралии и Новой Зеландии, по фальшивому паспорту на имя Линдсея Форда он приезжает в Бомбей. Благодаря личным качествам быстро заводит знакомых и друзей среди местных жителей и живущих в Бомбее иностранцев. Крестьянка, мать индийского друга героя, нарекает его индийским именем Шантарам, что означает в переводе с маратхи - «мирный человек» или «человек, которому Бог даровал мирную судьбу». Зарабатывает на жизнь, выступая в качестве посредника в мелких нелегальных сделках. Поселяется в трущобах, где оказывает медицинскую помощь их жителям. Заводит множество знакомств в криминальных кругах. По доносу попадает в тюрьму, где в ужасных условиях проводит 4 месяца. После освобождения начинает работать на крупного бомбейского мафиози Абделя Кадер Хана, к которому испытывает почти сыновью любовь.";"843034631";
"2018";"1";"«Зулейха открывает глаза»";"Гузель Яхина";"роман";"2015";"«АСТ»";"русский";"РОССИЯ";"";"Действие романа «Зулейха открывает глаза» начинается в 1930 году в далёкой татарской деревне. Зимой 1930-го у крестьянки Зулейхи убивают мужа, а её саму вместе с сотнями других переселенцев отправляют в вагоне-теплушке по каторжному маршруту в Сибирь. Во второй части романа рассказывается история выживания ссыльных, брошенных в глухой тайге на берегу Ангары без пищи, крова и тёплой одежды. Кучке людей самых разных национальностей, конфессий и судеб приходится вместе бороться за выживание против суровой природы и нового правительства.";"919209472";
"2018";"2";"«Бабий ветер»";"Дина Рубина";"роман";"2017";"«ЭКСМО»";"русский";"РОССИЯ";"";"В центре повествования этой, подчас шокирующей, резкой и болевой книги - Женщина. Героиня, в юности - парашютистка и пилот воздушного шара, пережив личную трагедию, вынуждена заняться совсем иным делом в другой стране, можно сказать, в зазеркалье - она косметолог, живёт и работает в Нью-Йорке. Целая вереница странных персонажей проходит перед её глазами, ибо по роду своей нынешней профессии, героиня сталкивается с фантастическими, на сегодняшний день почти обыденными «гендерными перевёртышами», с обескураживающими, а то и отталкивающими картинками жизни общества. И, как ни странно, из этой гирлянды, по выражению героини, «калек» вырастает гротесковый, трагический, ничтожный и высокий образ современной любви.";"919210946";
"2018";"3";"«Патриот»";"Андрей Рубанов";"роман";"2017";"«АСТ»";"русский";"РОССИЯ";"";"Супермаркет бизнесмена Сергея Знаева «Готовься к войне» торгует телогрейками и готовится к краху. Сам Знаев плотно сидит на препаратах против воспаления лицевого нерва, тонет в долгах и однажды узнаёт, что у него есть шестнадцатилетний внебрачный сын Сергей - плод давнего и забытого романа с некой Вероникой. Знаев-старший признаёт вновь обретённого ребенка, находит его хорошем парнем и поддерживает контакт с его матерью. В то же время на бизнесмена серьезно давят конкурент Григорий Молнин и кредитор Женя Плоцкий - первый хочет выкупить или «отжать» супермаркет «Готовься к войне», а второй требует вернуть старый долг. Под натиском этих проблем Сергей Знаев задумывается о том, чтобы поехать воевать на стороне сепаратистов на Донбасс. Знакомые Знаева-старшего отговаривают его от боевой поездки, однако бизнесмен даже встречается с людьми, которые могут отправить его воевать. Но они также пытаются отговорить Сергея. Знаева начинают мучить галлюцинации из-за смешивания таблеток и алкоголя - привидившийся чёрт чуть было не заставляет бизнесмена покончить с собой. В плату долга Плоцкому Знаев продаёт квартиру и соглашается на сделку с Молниным. Перед самым отъездом Сергей оставляет крупную сумму внебрачному сыну, а ребёнок от бывшей жены Виталий от денег отказывается.Знаев-старший улетает из Москвы, но не на Украину, а в Лос-Анджелес.Там он живёт беззаботной жизнью и катается на доске для серфинга. Во время одного из ночных заплывов Сергея уносит в открытый океан, где он теряет силы.";"919214844";
"2018";"4";"«Авиатор»";"Евгений Водолазкин";"роман";"2016";"«АСТ»";"русский";"РОССИЯ";"";"Герой нового романа «Авиатор», очнувшись однажды на больничной койке, понимает, что не знает про себя ровным счетом ничего - ни своего имени, ни кто он такой, ни где находится. В надежде восстановить историю своей жизни, он начинает записывать посетившие его воспоминания, отрывочные и хаотичные - Петербург начала ХХ века, дачное детство в Сиверской и Алуште, гимназия и первая любовь, революция 1917-го, влюбленность в авиацию, Соловки. Но откуда он так точно помнит детали быта, фразы, запахи, звуки того времени, если на календаре - 1999 год.";"919214900";
"2018";"5";"«Лавр»";"Евгений Водолазкин";"роман";"2012";"«АСТ»";"русский";"РОССИЯ";"";"Действие романа происходит в средневековой Руси 15-16 века. Главный герой - травник Арсений, обладающий целительными способностями, выросший у деда Христофора, грамотея и ведуна. Его тайная возлюбленная, невенчаная жена Устина умирает во время родов, их сын погибает в утробе. Арсений, сокрушаясь, что Устина умерла из-за него и без причастия, стремится искупить грех и отмолить её душу, посвятив ей свою жизнь. С неослабевающей любовью к Устине он в течение своей долгой жизни становится странствующим травником, исцеляющим людей, юродивым, принявшим имя своей возлюбленной, путешествует паломником в Иерусалим и обратно, постригается в монахи, а потом в схиму, приняв имя Лавр.";"919216695";
